GEOGID,GEOGTYPE,GEOGDESC
E08036,ED,Stradbally
E08037,ED,Tankardstown
E08038,ED,Timogue
E08039,ED,Vicarstown
E08040,ED,Arderin
E08041,ED,Ballybrittas
E08042,ED,Ballycarroll
E08043,ED,Ballyfin
E08044,ED,Borris
E08045/08046,ED,Brisha / Capard
E08047,ED,Cappalough
E08048,ED,Cardtown
E08049,ED,Castlecuffe
E08050,ED,Clonaslee
E08051,ED,Clondarrig
E08052,ED,Clonin
E08053,ED,Coolrain
E08054,ED,Dangans
E08055,ED,Emo
E08056,ED,Garrymore
E08057,ED,Graigue
E08058,ED,Jamestown
E08059,ED,Kilcolmanbane
E08060,ED,Kilmullen
E08061,ED,Kilmurry
E08062,ED,Lacka
E08063,ED,Marymount
E08064,ED,Meelick
E08065,ED,Mountmellick Rural
E08066,ED,Mountmellick Urban
E08067,ED,Mountrath
E08068,ED,Nealstown
E08069,ED,O'More's Forest
E08070,ED,Portarlington South
E08071,ED,Portlaoighise (Maryborough) Rural
E08072,ED,Portlaoighise (Maryborough) Urban
E08073,ED,Rearymore
E08074,ED,Rosenallis
E08075,ED,Sallyford
E08076,ED,Shaen
E08077,ED,Tinnahinch
E08078,ED,Trumra
E08079,ED,Ballybrophy
E08080,ED,Borris-in-Ossory
E08081,ED,Clonmore
E08082,ED,Errill
E08083,ED,Kyle
E08084,ED,Kyle South
E08085,ED,Moneenalassa
E08086,ED,Moneymore
E08087,ED,Rathsaran
E08088,ED,Ardough
E08089,ED,Arless
E08090,ED,Ballickmoyler
E08091,ED,Ballylehane
E08092,ED,Doonane
E08093,ED,Farnans
E08094,ED,Graigue Rural
E08095,ED,Newtown
E08096,ED,Rossmore
E08097,ED,Shrule
E08098,ED,Turra
E09001,ED,Longford No. 1 Urban
E09002,ED,Longford No. 2 Urban
E09003,ED,Agharra
E09004,ED,Ballymahon
E09005,ED,Cashel East
E09006,ED,Cashel West
E09007,ED,Doory
E09008,ED,Forgney
E09009,ED,Foxhall
E09010,ED,Kilcommock
E09011,ED,Kilglass
E09012,ED,Ledwithstown
E09013,ED,Abbeylara
E09014,ED,Ballinalee
E09015,ED,Ballymuigh
E09016,ED,Bunlahy
E09017,ED,Columbkille
E09018,ED,Coolamber
E09019,ED,Creevy
E09020,ED,Crosagstown
E09021,ED,Currygrane
E09022,ED,Dalystown
E09023,ED,Drummeel
E09024/09035,ED,Firry / Newgrove
E09025,ED,Gelshagh
E09026,ED,Granard Rural
E09027,ED,Granard Urban
E09028,ED,Knockanbaun
E09029,ED,Lislea
E09030,ED,Meathas Truim
E09031,ED,Milltown
E09032,ED,Moatfarrell
E09033,ED,Moyne
E09034,ED,Mullanalaghta
E09036,ED,Sonnagh
E09037,ED,Aghaboy
E09038,ED,Ardagh East
E09039,ED,Ardagh West
E09040,ED,Ballinamuck East
E09041,ED,Ballinamuck West
E09042,ED,Breanrisk
E09043,ED,Caldragh
E09044,ED,Cloondara
E09045,ED,Cloonee
E09046,ED,Corboy
E09047,ED,Drumgort
E09048,ED,Drumlish
E09049,ED,Killashee
E09050,ED,Killoe
E09051,ED,Longford Rural
E09052,ED,Mountdavis
E09053,ED,Moydow
E09054,ED,Newtown Forbes
E09055,ED,Rathcline
E10001,ED,Fair Gate
E10002,ED,St. Laurence Gate
E10003,ED,West Gate
E10004,ED,Dundalk Urban No. 1
E10005,ED,Dundalk Urban No. 2
E10006,ED,Dundalk Urban No. 3
E10007,ED,Dundalk Urban No. 4
E10008,ED,Ardee Rural
E10009,ED,Ardee Urban
E10010,ED,Castlebellingham
E10011,ED,Clonkeen
E10012,ED,Collon
E10013,ED,Dromin
E10014,ED,Dromiskin
E10015,ED,Drumcar
E10016,ED,Dunleer
E10017,ED,Stabannan
E10018,ED,Tallanstown
E10019,ED,Ballymascanlan
E10020,ED,Barronstown
E10021,ED,Carlingford
E10022,ED,Castlering
E10023,ED,Castletown
E10024,ED,Creggan Upper
E10025,ED,Darver
E10026,ED,Drummullagh
E10027,ED,Dundalk Rural
E10028,ED,Faughart
E10029,ED,Greenore
E10030,ED,Haggardstown
E10031,ED,Jenkinstown
E10032,ED,Killanny
E10033,ED,Louth
E10034,ED,Mansfieldstown
E10035,ED,Rathcor
E10036,ED,Ravensdale
E10037,ED,Clogher
E10038,ED,Dysart
E10039,ED,Monasterboice
E10040,ED,Mullary
E10041,ED,St. Peter's
E10042,ED,Termonfeckin
E10047,ED,St. Mary's (Part Urban)
